straat,huisnummer,huisletter,huistoevoeging,woonplaats,postcode,oppervlakte,gebruiksdoel,full_address
Muiderzandpad,11,,,Diemen,1111RW,166,woonfunctie,Muiderzandpad 11   1111RW Diemen
Bestevaer,24,,,Voorschoten,2253XX,116,woonfunctie,Bestevaer 24   2253XX Voorschoten
Batenburglaan,59,,,Tilburg,5043AJ,113,woonfunctie,Batenburglaan 59   5043AJ Tilburg
St.Lambertusweg,48,A,,Gemonde,5291 AC,832,industriefunctie,St.Lambertusweg 48 A  5291 AC Gemonde
De Savornin Lohmanhof,36,,,Wezep,8091XT,159,woonfunctie,De Savornin Lohmanhof 36   8091XT Wezep
Heuvelstraat,40,,,Volkel,5408 AD,106,woonfunctie,Heuvelstraat 40   5408 AD Volkel
Zaaiersweg,41,,H,Amsterdam,1097SN,78,woonfunctie,Zaaiersweg 41  H 1097SN Amsterdam
Ruimersdijk,31,,,Rotterdam,3079 HJ,18,overige gebruiksfunctie,Ruimersdijk 31   3079 HJ Rotterdam
Koningin Wilhelminaweg,76,,,Gouda,2802 HR,81,woonfunctie,Koningin Wilhelminaweg 76   2802 HR Gouda
Jacob de Bijestraat,7,,,Achterveld,3791 AS,146,woonfunctie,Jacob de Bijestraat 7   3791 AS Achterveld
Ruysdaelstraat,38,,,Sliedrecht,3362 XP,41,woonfunctie,Ruysdaelstraat 38   3362 XP Sliedrecht
Hoofdweg,289,,1,Amsterdam,1057 CZ,55,woonfunctie,Hoofdweg 289  1 1057 CZ Amsterdam
Burgemeester Lambertstr,14,,,Eijsden,6245 HE,122,woonfunctie,Burgemeester Lambertstr 14   6245 HE Eijsden
Piriet,16,,,Heerhugowaard,1703BL,128,woonfunctie,Piriet 16   1703BL Heerhugowaard
Hoofdstraat,151,A,,Hoensbroek,6432 GB,62,woonfunctie,Hoofdstraat 151 A  6432 GB Hoensbroek
Ptolemaeusstraat,36,,G11,Apeldoorn,7323GH,18,overige gebruiksfunctie,Ptolemaeusstraat 36  G11 7323GH Apeldoorn
Rozenstraat,205,B,,Amsterdam,1016 NS,89,woonfunctie,Rozenstraat 205 B  1016 NS Amsterdam
Westerpark,37,,,Rijnsburg,2231DK,100,woonfunctie,Westerpark 37   2231DK Rijnsburg
Mariniersweg,3,A,,Rotterdam,3011NB,99,woonfunctie,Mariniersweg 3 A  3011NB Rotterdam
Anatole Franceplaats,262,,,Rotterdam,3069 AG,68,woonfunctie,Anatole Franceplaats 262   3069 AG Rotterdam
Absalon,18,,,Limmen,1906 JA,195,woonfunctie,Absalon 18   1906 JA Limmen
Dokter Bloemenlaan,11,,70,Tilburg,5022KX,45,woonfunctie,Dokter Bloemenlaan 11  70 5022KX Tilburg
Jan van Boendalelaan,11,,,Eindhoven,5615KD,131,woonfunctie,Jan van Boendalelaan 11   5615KD Eindhoven
Noorderstraat,108,,,Alkmaar,1823 CS,96,woonfunctie,Noorderstraat 108   1823 CS Alkmaar
Menanderstraat,64,,,Rotterdam,3076 AG,60,woonfunctie,Menanderstraat 64   3076 AG Rotterdam
Willem Schuylenburglaan,3,,,Utrecht,3571 SB,234,onderwijsfunctie,Willem Schuylenburglaan 3   3571 SB Utrecht
Händellaan,491,,,Zwolle,8031ET,46,woonfunctie,Händellaan 491   8031ET Zwolle
Grote Oever,126,,,Meppel,7941 BJ,80,woonfunctie,Grote Oever 126   7941 BJ Meppel
S Blaupot ten Catestr,114,,,Zaandam,1508VC,71,woonfunctie,S Blaupot ten Catestr 114   1508VC Zaandam
Dorpsstraat,65,,,Loosbroek,5472PJ,242,woonfunctie,Dorpsstraat 65   5472PJ Loosbroek
Livingstonelaan,906,,,Utrecht,3526JM,93,woonfunctie,Livingstonelaan 906   3526JM Utrecht
Polluxstraat,200,,,Groningen,9742 CE,79,woonfunctie,Polluxstraat 200   9742 CE Groningen
Leeuwerikstraat,11,,,Arnhem,6822KV,125,woonfunctie,Leeuwerikstraat 11   6822KV Arnhem
Eiberstraat,119,,,Velp,6883EG,77,woonfunctie,Eiberstraat 119   6883EG Velp
Duizendbladstraat,15,,,Goes,4461MN,142,woonfunctie,Duizendbladstraat 15   4461MN Goes
Groningensingel,523,,,Arnhem,6835 EV,53,woonfunctie,Groningensingel 523   6835 EV Arnhem
Park de Kempervennen,11,,,Westerhoven,5563VC,49,logiesfunctie,Park de Kempervennen 11   5563VC Westerhoven
Pyrolalaan,52,,,'s-Gravenhage,2554 HG,87,woonfunctie,Pyrolalaan 52   2554 HG 's-Gravenhage
Dunningehof,34,,,Emmen,7824 AW,102,woonfunctie,Dunningehof 34   7824 AW Emmen
Steenstraat,5,,,Eindhoven,5612 PE,108,woonfunctie,Steenstraat 5   5612 PE Eindhoven
Zakedijkje,24,,,Bergen (NH),1862 HB,134,woonfunctie,Zakedijkje 24   1862 HB Bergen (NH)
Willem de Zwijgerlaan,40,,,Axel,4571GV,108,woonfunctie,Willem de Zwijgerlaan 40   4571GV Axel
Scheveningseweg,60,B,,'s-Gravenhage,2517KW,95,woonfunctie,Scheveningseweg 60 B  2517KW 's-Gravenhage
Oude Kruisweg,36,,,Cruquius,2142EG,329,bijeenkomstfunctie,Oude Kruisweg 36   2142EG Cruquius
Wagenbrugge,16,,,Sneek,8604BE,167,woonfunctie,Wagenbrugge 16   8604BE Sneek
Terborgh,37,,,Weert,6002 XL,110,woonfunctie,Terborgh 37   6002 XL Weert
Generaal van Plettenbergpad,21,,,Eindhoven,5623 KH,102,woonfunctie,Generaal van Plettenbergpad 21   5623 KH Eindhoven
West-Kruiskade,54,,K144,Rotterdam,3014 AW,25,gezondheidszorgfunctie,West-Kruiskade 54  K144 3014 AW Rotterdam
Kraanbaan,13,,,Ridderkerk,2987 WB,162,woonfunctie,Kraanbaan 13   2987 WB Ridderkerk
Reinkenstraat,50,,,'s-Gravenhage,2517CW,120,winkelfunctie,Reinkenstraat 50   2517CW 's-Gravenhage
Albert Schweitzersingel,210,,,Amersfoort,3822BX,74,woonfunctie,Albert Schweitzersingel 210   3822BX Amersfoort
Wyandottestraat,14,,,Amsterdam,1109BT,82,woonfunctie,Wyandottestraat 14   1109BT Amsterdam
Buitendijklaan,74,,,Leiderdorp,2353 VR,99,woonfunctie,Buitendijklaan 74   2353 VR Leiderdorp
Ewijkseweg,14,,,Overasselt,6611AG,146,woonfunctie,Ewijkseweg 14   6611AG Overasselt
Burgemeester vd Goeslaan,100,,,De Lier,2678 LT,61,woonfunctie,Burgemeester vd Goeslaan 100   2678 LT De Lier
Wiringherlant,4,,,Hippolytushoef,1777NX,87,logiesfunctie,Wiringherlant 4   1777NX Hippolytushoef
Louweshoek,28,,,Amsterdam,1066DN,58,woonfunctie,Louweshoek 28   1066DN Amsterdam
Togostraat,35,,,Delft,2622EX,93,woonfunctie,Togostraat 35   2622EX Delft
Twentestraat,222,,,Tilburg,5018BG,112,woonfunctie,Twentestraat 222   5018BG Tilburg
Europalaan,212,C,,Enschede,,15,overige gebruiksfunctie,Europalaan 212 C   Enschede
De Oude Klarenbeek,63,,,Ugchelen,7339EZ,139,woonfunctie,De Oude Klarenbeek 63   7339EZ Ugchelen
Aldenhof,2106,,,Nijmegen,6537BN,106,woonfunctie,Aldenhof 2106   6537BN Nijmegen
Karveelstraat,39,,,Zaandam,1503 BD,53,woonfunctie,Karveelstraat 39   1503 BD Zaandam
Stalpaert van der Wieleweg,52,,,Delft,2612 SX,69,woonfunctie,Stalpaert van der Wieleweg 52   2612 SX Delft
Mesdagstraat,82,,,'s-Gravenhage,2596 XZ,96,woonfunctie,Mesdagstraat 82   2596 XZ 's-Gravenhage
Schovenhorstweide,27,,,Helmond,5709SG,172,woonfunctie,Schovenhorstweide 27   5709SG Helmond
Goosse van der Windstraat,19,,,Rotterdam,3062XM,179,woonfunctie,Goosse van der Windstraat 19   3062XM Rotterdam
Dr. van Campenstraat,3,,,Breda,4811 RH,130,woonfunctie,Dr. van Campenstraat 3   4811 RH Breda
Vellerselaan,26,,,Barneveld,3772 PP,179,woonfunctie,Vellerselaan 26   3772 PP Barneveld
Toren,38,,,Nederweert,6031 GE,131,woonfunctie,Toren 38   6031 GE Nederweert
Van Sillevoldtstraat,14,,,Wassenaar,2245VM,71,woonfunctie,Van Sillevoldtstraat 14   2245VM Wassenaar
Lisztplein,15,,,Oud-Beijerland,3261 JS,136,woonfunctie,Lisztplein 15   3261 JS Oud-Beijerland
Herenweg,204,,,Noordwijkerhout,2211VC,106,woonfunctie,Herenweg 204   2211VC Noordwijkerhout
St.Joannesstraat,15,,,Kerkrade,6465 BG,85,woonfunctie,St.Joannesstraat 15   6465 BG Kerkrade
Kerkpad,13,,,Warmenhuizen,1749CW,136,woonfunctie,Kerkpad 13   1749CW Warmenhuizen
De Weem,302,,,Nijmegen,6534 VE,71,woonfunctie,De Weem 302   6534 VE Nijmegen
Willem Frederikstraat,45,,,Vlaardingen,3136 BP,119,woonfunctie,Willem Frederikstraat 45   3136 BP Vlaardingen
Essenweg,3,,,de Lutte,7587 PT,658,industriefunctie,Essenweg 3   7587 PT de Lutte
Smellekenlaan,48,,,Venray,5804 VG,90,woonfunctie,Smellekenlaan 48   5804 VG Venray
Karel Doormanweg,17,,,Nijverdal,7441 GW,104,woonfunctie,Karel Doormanweg 17   7441 GW Nijverdal
Raadhuisstraat,76,,,Hulsberg,6336 VM,135,woonfunctie,Raadhuisstraat 76   6336 VM Hulsberg
Vinkelse Slagen,2,,,Vinkel,5381EA,350,woonfunctie,Vinkelse Slagen 2   5381EA Vinkel
Duifstraat,57,,,Utrecht,3514 EP,145,woonfunctie,Duifstraat 57   3514 EP Utrecht
Moerbeigaarde,22,,,Zoetermeer,2723AE,118,woonfunctie,Moerbeigaarde 22   2723AE Zoetermeer
Ridderinkweg,1,a,,Arriën,7735KG,44,industriefunctie,Ridderinkweg 1 a  7735KG Arriën
Poelkade,46,,,'s-Gravenzande,2691ME,255,woonfunctie,Poelkade 46   2691ME 's-Gravenzande
De Helling,4,,,Alblasserdam,,232,overige gebruiksfunctie,De Helling 4    Alblasserdam
Meander,30,,,Bemmel,6681TD,136,woonfunctie,Meander 30   6681TD Bemmel
Moerkensbeemden,33,,,Helmond,5706 NV,265,woonfunctie,Moerkensbeemden 33   5706 NV Helmond
Philitelaan,74,,,Eindhoven,5617AN,58,woonfunctie,Philitelaan 74   5617AN Eindhoven
Javastraat,121,C,,Enschede,7512 ZE,55,woonfunctie,Javastraat 121 C  7512 ZE Enschede
De Sanderij,37,,,Schoorl,1871 ER,55,woonfunctie,De Sanderij 37   1871 ER Schoorl
Veldweg,22,,124,Nooitgedacht,9449 PW,68,logiesfunctie,Veldweg 22  124 9449 PW Nooitgedacht
Salland,5,,,Beverwijk,1948RE,2420,industriefunctie,Salland 5   1948RE Beverwijk
Gerstakker,4,,,Diessen,5087 SW,166,woonfunctie,Gerstakker 4   5087 SW Diessen
Saltshof,2826,,,Wijchen,6604 GH,116,woonfunctie,Saltshof 2826   6604 GH Wijchen
Mahoniestraat,63,,,Venlo,5925 HD,90,woonfunctie,Mahoniestraat 63   5925 HD Venlo
Noordweg,117,,,'s-Gravenhage,2548 AB,6,overige gebruiksfunctie,Noordweg 117   2548 AB 's-Gravenhage
Herbenusstraat,184,B,02,Maastricht,6211 RJ,52,woonfunctie,Herbenusstraat 184 B 02 6211 RJ Maastricht
Jan van der Heijdenstraat,38,,,'s-Gravenhage,2522ER,59,woonfunctie,Jan van der Heijdenstraat 38   2522ER 's-Gravenhage
Frans van Mierisstraat,41,,,Groningen,9718 SR,62,woonfunctie,Frans van Mierisstraat 41   9718 SR Groningen
Pepinusbrug,6,C,,Echt,6102RJ,88,logiesfunctie,Pepinusbrug 6 C  6102RJ Echt
Den Hulst,84,B,,Nieuwleusen,7711 GR,98,woonfunctie,Den Hulst 84 B  7711 GR Nieuwleusen
Rubenslaan,33,,,Vleuten,3451 JK,64,woonfunctie,Rubenslaan 33   3451 JK Vleuten
Vondellaan,5,,,Alblasserdam,2951 TN,128,woonfunctie,Vondellaan 5   2951 TN Alblasserdam
Dr H.J. van Mooklaan,75,,,Rijswijk,2286BB,17,overige gebruiksfunctie,Dr H.J. van Mooklaan 75   2286BB Rijswijk
Bogaartsborg,86,,,Maastricht,6228 AN,119,woonfunctie,Bogaartsborg 86   6228 AN Maastricht
Curaçaostraat,43,,,'s-Gravenhage,2585 ZA,52,woonfunctie,Curaçaostraat 43   2585 ZA 's-Gravenhage
Baron van Sytzamastraat,6,,,Brummen,6971 ZB,100,woonfunctie,Baron van Sytzamastraat 6   6971 ZB Brummen
Eikenlaan,45,,,Liessel,5757PS,386,industriefunctie,Eikenlaan 45   5757PS Liessel
De Smidse,11,,,Moordrecht,2841XW,82,woonfunctie,De Smidse 11   2841XW Moordrecht
Thorbeckeweg,265,,,Dordrecht,3317EE,65,woonfunctie,Thorbeckeweg 265   3317EE Dordrecht
Merce Cunninghamplantsoen,103,,,Amsterdam,1095PJ,34,woonfunctie,Merce Cunninghamplantsoen 103   1095PJ Amsterdam
Den Hoef,21,,,Ameide,4233GJ,157,woonfunctie,Den Hoef 21   4233GJ Ameide
Morra,26,,,Drachten,9204KH,93,woonfunctie,Morra 26   9204KH Drachten
Burgemeester Fockema Andreaeplein,7,,,Utrecht,3582 LA,19,woonfunctie,Burgemeester Fockema Andreaeplein 7   3582 LA Utrecht
Telefoonstraat,39,,,Tilburg,5038DN,45,winkelfunctie,Telefoonstraat 39   5038DN Tilburg
Wilgenbroek,71,,,Breda,4822 XT,95,woonfunctie,Wilgenbroek 71   4822 XT Breda
Admiraal Helfrichlaan,17,,,Dieren,6952 GB,112,woonfunctie,Admiraal Helfrichlaan 17   6952 GB Dieren
Eikenlaan,45,K,,Spijkenisse,3203BG,74,woonfunctie,Eikenlaan 45 K  3203BG Spijkenisse
Jan van Goyenlaan,4,,,Apeldoorn,7312NJ,85,woonfunctie,Jan van Goyenlaan 4   7312NJ Apeldoorn
Stationsweg,26,,,Maarssen,3603EE,110,woonfunctie,Stationsweg 26   3603EE Maarssen
Pioniersstraat,44,,,Ysselsteyn,5813BX,223,woonfunctie,Pioniersstraat 44   5813BX Ysselsteyn
Keurhove,124,L,,Middelburg,,17,overige gebruiksfunctie,Keurhove 124 L   Middelburg
Rozenlaan,9,,,Ermelo,3851 PD,154,woonfunctie,Rozenlaan 9   3851 PD Ermelo
Haspel,93,,1,Ermelo,3852 LR,52,logiesfunctie,Haspel 93  1 3852 LR Ermelo
Slingerweg,14,B,,Den Burg,1791 AW,34,woonfunctie,Slingerweg 14 B  1791 AW Den Burg
Balingerbrink,205,,GB40,Emmen,7812SH,16,overige gebruiksfunctie,Balingerbrink 205  GB40 7812SH Emmen
Lagestraat,48,,,Niftrik,6606 KC,219,industriefunctie,Lagestraat 48   6606 KC Niftrik
Amundsenweg,2,,3,Amsterdam,1056AT,67,woonfunctie,Amundsenweg 2  3 1056AT Amsterdam
Bastion,49,,,Tholen,4691ER,108,woonfunctie,Bastion 49   4691ER Tholen
Joachim Stillerstraat,72,,,Zaandam,1507 PW,89,woonfunctie,Joachim Stillerstraat 72   1507 PW Zaandam
Pietersbergweg,265,,,Amsterdam,1105BM,41,woonfunctie,Pietersbergweg 265   1105BM Amsterdam
Pastoor Canniuslaan,46,,,Bergschenhoek,2661 HW,108,woonfunctie,Pastoor Canniuslaan 46   2661 HW Bergschenhoek
Eekstraat,18,a,136,Doesburg,6984AG,-1,,Eekstraat 18 a 136 6984AG Doesburg
Bé van den Doolstraat,43,,,Deventer,7425 RR,115,woonfunctie,Bé van den Doolstraat 43   7425 RR Deventer
Geerakker,20,,,Wagenberg,4845ES,150,woonfunctie,Geerakker 20   4845ES Wagenberg
Schoolstraat,22,,,Buitenpost,9285 NE,109,woonfunctie,Schoolstraat 22   9285 NE Buitenpost
Korhoenlaan,7,,,Huizen,1272 DD,379,woonfunctie,Korhoenlaan 7   1272 DD Huizen
A. van der Meulenstrjitte,8,,,De Westereen,9271BL,105,woonfunctie,A. van der Meulenstrjitte 8   9271BL De Westereen
Breestraat,45,A,,Leiden,2311 CH,49,woonfunctie,Breestraat 45 A  2311 CH Leiden
Nieuwstraat,16,,,Ovezande,4441 AH,52,woonfunctie,Nieuwstraat 16   4441 AH Ovezande
Dorpsstraat,67,,,Wamel,6659 CC,82,woonfunctie,Dorpsstraat 67   6659 CC Wamel
Koperwiek,24,,,Harmelen,3481DK,66,woonfunctie,Koperwiek 24   3481DK Harmelen
Couperusweg,64,,,Almere,1321AV,111,woonfunctie,Couperusweg 64   1321AV Almere
Laan van Zuidbroek,130,,,Apeldoorn,7324 BJ,144,woonfunctie,Laan van Zuidbroek 130   7324 BJ Apeldoorn
Cornelie Huygensstraat,19,,,Coevorden,7741 ZZ,-1,,Cornelie Huygensstraat 19   7741 ZZ Coevorden
Gounodlaan,59,,G02,Eindhoven,,18,overige gebruiksfunctie,Gounodlaan 59  G02  Eindhoven
Nieuwehaven,288,,,Rotterdam,3011VN,57,woonfunctie,Nieuwehaven 288   3011VN Rotterdam
Van Oldenbarneveltstraat,18,,,Drunen,5151 CE,165,woonfunctie,Van Oldenbarneveltstraat 18   5151 CE Drunen
Eikenlaan,66,,,Wolvega,8471 KE,84,woonfunctie,Eikenlaan 66   8471 KE Wolvega
Haverberg,18,,,Roosendaal,4708 HR,113,woonfunctie,Haverberg 18   4708 HR Roosendaal
Tjerk Hiddes de Vriesstraat,54,,,Harlingen,8861GZ,100,woonfunctie,Tjerk Hiddes de Vriesstraat 54   8861GZ Harlingen
Langendijk,1,b,,Gorinchem,4201 CE,68,woonfunctie,Langendijk 1 b  4201 CE Gorinchem
Zwaluw,12,,,Barendrecht,2991 MZ,105,woonfunctie,Zwaluw 12   2991 MZ Barendrecht
Meilanden,60,,,Barneveld,3773ZM,54,woonfunctie,Meilanden 60   3773ZM Barneveld
Saffraan,15,,,Raalte,8101 DH,170,woonfunctie,Saffraan 15   8101 DH Raalte
Talmaweg,20,,,Barendrecht,2992 AH,94,woonfunctie,Talmaweg 20   2992 AH Barendrecht
Het Kwadrant,172,,,Maarssen,3606AZ,24,woonfunctie,Het Kwadrant 172   3606AZ Maarssen
Oude Schoolweg,1,,,Glimmen,9756BX,294,woonfunctie,Oude Schoolweg 1   9756BX Glimmen
Boxtelsebaan,103,,,Oisterwijk,5061 VC,120,woonfunctie,Boxtelsebaan 103   5061 VC Oisterwijk
Gravin Juliana van Stolberglaan,567,,,Leidschendam,2263 AZ,101,woonfunctie,Gravin Juliana van Stolberglaan 567   2263 AZ Leidschendam
Dintel,57,,,Veldhoven,5504 ME,100,woonfunctie,Dintel 57   5504 ME Veldhoven
Palembangstraat,23,,,Groningen,9715LK,85,woonfunctie,Palembangstraat 23   9715LK Groningen
Kruizemuntstraat,14,,,Arnhem,6833GB,80,woonfunctie,Kruizemuntstraat 14   6833GB Arnhem
Stationsstraat,7,,,Nijverdal,7443BX,182,gezondheidszorgfunctie,Stationsstraat 7   7443BX Nijverdal
Bedrijvenstraat,3,,,Zaamslag,4543 NZ,784,industriefunctie,Bedrijvenstraat 3   4543 NZ Zaamslag
Boterzwin,3427,,,Julianadorp,1788WH,62,woonfunctie,Boterzwin 3427   1788WH Julianadorp
Gemini,29,,,Heeze,5591 PR,173,woonfunctie,Gemini 29   5591 PR Heeze
Boterdiep,24,b,,Groningen,9712 LP,31,woonfunctie,Boterdiep 24 b  9712 LP Groningen
Cronebos,2,,,Ede,6718 HG,114,woonfunctie,Cronebos 2   6718 HG Ede
Marskramerstraat,12,,,Etten-Leur,4871MH,117,woonfunctie,Marskramerstraat 12   4871MH Etten-Leur
Saturnusstraat,74,,,Utrecht,3582 PS,114,woonfunctie,Saturnusstraat 74   3582 PS Utrecht
Weurtseweg,172,,,Nijmegen,6541BB,81,woonfunctie,Weurtseweg 172   6541BB Nijmegen
Voskuilenweg,125,,GB26,Heerlen,,14,overige gebruiksfunctie,Voskuilenweg 125  GB26  Heerlen
Prinses Arianelaan,204,,,Zeist,3708 XG,82,woonfunctie,Prinses Arianelaan 204   3708 XG Zeist
Kloosterstraat,29,,,Susteren,6114HG,49,woonfunctie,Kloosterstraat 29   6114HG Susteren
Alewijnlaan,16,,,Loosdrecht,1231VP,102,woonfunctie,Alewijnlaan 16   1231VP Loosdrecht
Windevlinderstraat,74,,,Eindhoven,5641DR,86,woonfunctie,Windevlinderstraat 74   5641DR Eindhoven
Zuursche Duinen,35,,,Steenbergen,9307 PG,71,woonfunctie,Zuursche Duinen 35   9307 PG Steenbergen
Litherweg,15,,MZ,Oss,5346 JB,67,woonfunctie,Litherweg 15  MZ 5346 JB Oss
Diepenheimseweg,24,,,Gelselaar,7275 AR,148,woonfunctie,Diepenheimseweg 24   7275 AR Gelselaar
Kerdijkhof,166,,,Amsterdam,1067MN,99,woonfunctie,Kerdijkhof 166   1067MN Amsterdam
